date,statement_type,value,unit,scope,via_source,original_source_url,confidence,notes
2026-02-28,pre_war_stock,2500,BM_count,all_ballistic_missiles,TIMES_IL;ALMA,https://www.timesofisrael.com,medium,"IDF assessed Iran had ~2500 usable BMs at war start. Pre-June-2025 stock was ~3000 before prior conflict."
2026-03-04,bm_cumul_at_israel,128,BM_count,all_missiles_5_day,BBC_ARABIC,https://www.bbc.com/arabic/articles/cd0339k7r14o,medium,"~128 BM from Iran toward Israel by end of Mar4 (5-day cumul). Source: BBC Arabic citing IDF/defense ministry. CONTESTED: Perplexity new reading of JINSA Mar5 implies 430 by Mar4. See conflicts.md."
2026-03-10,bm_cumul_at_israel,300,BM_count,BM_only,JINSA_MAR11_PDF,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-11-26.pdf,medium,"IDF statement ~Mar10: ~300 BM launched at Israel total. Cited in JINSA Mar11 PDF. ~half contained cluster warheads. ~24 BM/day rate implied."
2026-03-10,bm_cumul_at_israel,285,BM_count,BM_only,WALLA;N12_MAR18,https://news.walla.co.il/item/3824995,high,"IAF precise figure from official IAF briefing (reported in Walla + N12/Mako article dated Mar18 but covering data through ~Mar10): 285 BMs toward Israel, 270 intercepted (>90% rate), 17 impact sites, 887 BMs global. More precise than ToI rounded '~300'. Our model cumul at Day11=301 — discrepancy of 16 BMs (~5%)."
2026-03-10,bm_daily_phase1,90,BM_count,day1_at_israel,TIMES_IL,https://www.timesofisrael.com/iran-has-fired-some-300-missiles-at-israel-about-half-with-cluster-bomb-warheads-idf/,low,"IDF/ToI per-day Phase I pattern: Day1=~90, Day2=~60, Days3-8=~20/day. CONTESTED: these sum to ~210 for Days1-5 vs BBC/IDF 128 anchor. Likely rounded figures used for narrative context. Recorded for completeness; see conflicts.md Phase I conflict."
2026-03-10,cluster_pct,50,pct,BM_at_israel,JINSA_MAR11_PDF,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-11-26.pdf,medium,~half of BMs at Israel carried cluster warheads by Mar10.
2026-03-15,bm_cumul_at_israel,290,BM_count,BM_only_lower_bound,INSS;FDD,https://www.inss.org.il,medium,">290 BMs at Israel by Mar15 (INSS/FDD). Non-binding lower bound — already satisfied by Mar10 cumul=300."
2026-03-24,intercept_rate,92,pct,aggregate_late_march,IDF,https://www.idf.il,high,"92% aggregate interception rate confirmed by IDF. Applies to late March. No daily series available."
2026-03-24,bm_daily_rate,10,BM_per_day,current_at_israel,IDF;WIKI_HE,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%AA%D7%A7%D7%A4%D7%94_%D7%94%D7%90%D7%99%D7%A8%D7%90%D7%A0%D7%99%D7%AA_%D7%A2%D7%9C_%D7%99%D7%A9%D7%A8%D7%90%D7%9C_(2026),medium,"~10/day average by Mar24 (IDF via Wiki_HE). Consistent with JINSA: ~10-15/day over past week."
2026-03-26,stockpile_depleted,70,pct,neutralized_total,IDF;JNS,https://www.jns.org,medium,"IDF: well over 70% of Iranian missile force neutralized (launched + destroyed on ground). JNS/IDF statement."
2026-03-27,bm_cumul_at_israel,450,BM_count,BM_at_home_front,TIMES_IL,https://www.timesofisrael.com,medium,">450 BM at Israel (Times of Israel liveblog Mar27). Upgraded from >400 per earlier IDF/JNS statement."
